"id","author","id_category","isnb","description","link_download","file_format","file_size","images","language","name","pages","read_online","year"
17,"Aravind Shenoy",17,"1849519943","
                    <h3>Book Description:</h3>
						<p>HTML5 and CSS3 are the way for the future. Prior to HTML5 and CSS3, it was difficult to design complicated animations and transformations. With the advent of HTML5 and CSS3, web design has become much simpler, and the new features that are now available help us design complex web pages with ease. These cool new features will be the standard for the future; hence, it is imperative to learn about them now.</p>
<p>HTML5 and CSS3 Transition, Transformation, and Animation will help you take advantage of the real power behind HTML5 and CSS3 and will give you a good grounding for using it in your own web pages. Each and every code sample and concept is explained in detail, and you will be provided with all the information you need to take your web pages to the next level – before all your competitors do!</p>
<p>The book starts by covering the basic concepts of HTML5 and CSS3 such as semantics, Microdata, and the Flexbox model. You will then quickly progress to intermediate concepts such as form elements and some exciting features with JavaScript APIs. The code samples provided in this book will give you a solid base by which you will then be able to understand, write, and execute your own HTML/CSS projects with transition and animations.</p>
<p>Instead of wading through loads of theory, the concepts in this book are explained in a practical manner using code samples to demonstrate the new features of HTML5 and CSS3. The code samples are such that you can copy the code (the entire code is written instead of code snippets) and execute it for better understanding. Transition, transformation, and animation are also explained in a lucid manner, and there is a gradual increase in the difficulty level throughout the book.</p>
<p>By the end of the book, you will be thoroughly acquainted with HTML5 and CSS3, enabling you to design a web page using the included code samples with ease.</p>
<p>What you will learn from this book</p>
<ul>
<li>Use Microdata for SEO purposes and learn the semantics of HTML5</li>
<li>Learn about the new HTML5 form elements</li>
<li>Work with drag-and-drop in HTML5</li>
<li>Discover how geolocation works in different browsers</li>
<li>Master HTML5 canvas theory with lots of code samples</li>
<li>Understand how offline web application works and learn about web storage concepts</li>
<li>Get acquainted with the nuances of CSS3 transition</li>
<li>Create complex web pages using advanced animations</li>
</ul>
											","http://file.allitebooks.com/20161110/HTML5%20and%20CSS3%20Transition,%20Transformation,%20and%20Animation.pdf","PDF","2.1 MB","http://www.allitebooks.com/wp-content/uploads/2016/11/HTML5-and-CSS3-Transition-Transformation-and-Animation-400x493.jpg","English","HTML5 and CSS3 Transition, Transformation, and Animation",136,"http://www.allitebooks.com/read/index.php?id=24891",2013
19,"Alex Libby",17,"1785885898","
                    <h3>Book Description:</h3>
						<p>PostCSS is a tool that has quickly emerged as the future of existing preprocessors such as SASS and Less, mainly because of its power, speed, and ease of use. This comprehensive guide offers in-depth guidance on incorporating cutting-edge styles into your web page and at the same time maintaining the performance and maintainability of your code.</p>
<p>The book will show how you can take advantage of PostCSS to simplify the entire process of stylesheet authoring. It covers various techniques to add dynamic and modern styling features to your web pages. As the book progresses, you will learn how to make CSS code more maintainable by taking advantage of the modular architecture of PostCSS. By the end of this book, you would have mastered the art of adding modern CSS effects to web pages by authoring high performing, maintainable stylesheets.</p>
<p>What you will learn</p>
<ul>
<li>Add mixin and variable support to PostCSS along with conditional support</li>
<li>Explore the different ways of nesting code such as BEM and standard nesting within PostCSS</li>
<li>Optimize media queries built with PostCSS to get the best performance</li>
<li>Add dynamic styling elements such as images, fonts, grids, and SVG and retina support using existing preprocessors as well as PostCSS</li>
<li>Get familiar with using plugins, and extend PostCSS with the API</li>
<li>Build a fully working custom preprocessor and test it on different sites such as WordPress</li>
<li>Write a custom syntax in PostCSS while still using pre-built syntaxes such as Less, SASS, or Stylus</li>
<li>Provide support for future CSS such as CSS4 using current CSS3 classes</li>
</ul>
											","http://file.allitebooks.com/20160821/Mastering%20PostCSS%20for%20Web%20Design.pdf","PDF","5.2 MB","http://www.allitebooks.com/wp-content/uploads/2016/08/Mastering-PostCSS-for-Web-Design-400x493.jpg","English","Mastering PostCSS for Web Design",414,"http://www.allitebooks.com/read/index.php?id=23485",2016
20,"Andy Budd",17,"1430258632","
                    <h3>Book Description:</h3>
						<p>Fully updated to the latest CSS modules, make the journey to CSS mastery as simple and painless as possible. This book dives into advanced aspects of CSS-based design, such as responsive design, modular CSS, and CSS typography. Through a series of easy-to-follow tutorials, you will learn practical CSS techniques you can immediately start using in your daily work.</p>
<p>CSS Mastery: Advanced Web Standards Solutions is your indispensable guide to cutting-edge CSS development―this book demystifies the secrets of CSS. While CSS is a relatively simple technology to learn, it is a difficult one to master. When you first start developing sites using CSS, you will come across all kinds of infuriating browser bugs and inconsistencies. It sometimes feels like there are a million and one different techniques to master, spread across a bewildering array of websites. The range of possibilities seems endless and makes for a steep and daunting learning curve.</p>
<p>While most books concentrate on basic skills, this one is different, assuming that you already know the basics and why you should be using CSS in your work, and concentrating mainly on advanced techniques. This new edition covers all of the CSS fundamentals such as the importance of meaningful markup, how to structure and maintain your code, and how the CSS layout model really works.</p>
<p>This new edition contains:</p>
<ul>
<li>New examples and updated browser support information</li>
<li>Full coverage of modular CSS and responsive design</li>
<li>Essential information on CSS typography and layout control</li>
</ul>
<p>What You’ll Learn</p>
<ul>
<li>The best practice concepts in CSS design</li>
<li>The most important (and tricky) parts of CSS</li>
<li>Identify and fix the most common CSS problems</li>
<li>How to deal with the most common bugs</li>
<li>Completely up to date browser support information</li>
<li>The latest information on CSS features and support</li>
</ul>
											","http://file.allitebooks.com/20160818/CSS%20Mastery,%203rd%20Edition.pdf","PDF","21.8 MB","http://www.allitebooks.com/wp-content/uploads/2016/08/CSS-Mastery-3rd-Edition.jpg","English","CSS Mastery, 3rd Edition",428,"http://www.allitebooks.com/read/index.php?id=23398",2013
21,"Todd Tomlinson",18,"1484202546","
                    <h3>Book Description:</h3>
						<div>Successfully architect a Drupal 8 website that scales to meet project requirements of any size and scope.</div>
<div></div>
<div>Starting with a one-chapter review of Drupal basics, you’ll dive into deeper topics including software development processes, architecting a Drupal site, scaling Drupal, working effectively with themes, and more. In addition to a thorough discussion of custom module development and how to develop modules as building blocks, you’ll also review many common ways of integrating Drupal with other 3rd party systems.</div>
<div></div>
<p>Building and maintaining an enterprise-ready Drupal website presents a unique set of challenges and complexities. From development processes and content management to deployments, version control and more, all aspects of Drupal development are impacted when two or more developers are on a project. If you are involved in a Drupal project that requires frequent updates and long-term support from a team of developers, system administrators, and end-users, Enterprise Drupal 8 Development is for you.</p>
<p>Whether you’re an experienced Drupal developer looking to expand your skills, a systems administrator managing a Drupal project, or a PHP developer new to Drupal, Enterprise Drupal 8 Development will give you the knowledge and inspiration you need to manage large and complex projects.</p>
<p>What You’ll Learn</p>
<ul>
<li>Architect Drupal for development teams and apply best practices for large Drupal projects</li>
<li>Integrate 3rd party applications with Drupal</li>
<li>Manage content, code, and configuration across multiple staging environments</li>
<li>Build a consistent user experience for administrators and content creators</li>
</ul>
<div></div>
<p>Who This Book Is For</p>
<p>The primary audience is intermediate to advanced Drupal developers who are working on large-scale Drupal projects and advanced PHP developers new to Drupal</p>
<p>The secondary audience is IT Professionals such as Systems Administrators managing Drupal projects</p>
											","http://file.allitebooks.com/20170523/Enterprise%20Drupal%208%20Development.pdf","PDF","9.1 MB","http://www.allitebooks.com/wp-content/uploads/2017/05/Enterprise-Drupal-8-Development.jpg","English","Enterprise Drupal 8 Development",309,"http://www.allitebooks.com/read/index.php?id=27491",2017
22,"Jennifer Hodgdon",18,"1491911468","
                    <h3>Book Description:</h3>
						<p>If you’re a web programmer, your experiences have taught you certain lessons—and only some of them apply well to Drupal. Drupal has its own set of programming principles that require a different approach, and many programmers make mistakes when relying on skills they’ve used for other projects. This book will show you which programming techniques you can use—and which you should avoid—when building web applications with this popular content management framework.</p>
<p>Updated to cover both Drupal 7 and Drupal 8, the guidelines in this book demonstrate which programming practices conform to the “Drupal way” and which don’t. The book also serves as an excellent guide for Drupal 7 programmers looking to make the transition to Drupal 8.</p>
<ul>
<li>Get an overview of Drupal, including Drupal core and add-on modules and themes</li>
<li>Learn Drupal’s basic programming principles, such as the ability to customize behavior and output with hooks</li>
<li>Compare Drupal 7 and Drupal 8 programming methods, APIs, and concepts</li>
<li>Discover common Drupal programming mistakes—and why hacking is one of them</li>
<li>Explore specific areas where you can put your programming skills to work</li>
<li>Learn about the new object-oriented Drupal 8 API, including plugins and services</li>
</ul>
											","http://file.allitebooks.com/20170320/Programmer's%20Guide%20to%20Drupal,%202nd%20Edition.pdf","PDF","2.1 MB","http://www.allitebooks.com/wp-content/uploads/2017/03/Programmers-Guide-to-Drupal-2nd-Edition.jpg","English","Programmer’s Guide to Drupal, 2nd Edition",238,"http://www.allitebooks.com/read/index.php?id=26991",2015
23,"Viktor Khliupko",18,"1484224566","
                    <h3>Book Description:</h3>
						<div>
<div>Learn how Magento 1 works and how to manage it via&nbsp;easy and advanced techniques.&nbsp;Magento continues to be a top choice for eCommerce solutions in small and large businesses, and many systems are still running on Magento 1.x. This book is specifically designed for these versions.<p></p>
</div>
<div></div>
<div>Aimed at entrepreneurs, marketers, and other experts interested in eCommerce,&nbsp;Magento 1 DIY&nbsp;shows you how to set up and configure Magento 1 for your own project.<p></p>
</div>
<div></div>
<p>You will also learn how to use extensions, templates and enterprise features guided by&nbsp;easy-to-understand, real-world examples.</p>
</div>
<div></div>
<div>What You Will Learn:<p></p>
</div>
<div>
<ul>
<li>Set up, configure, use templates, designs and extensions</li>
<li>Optimize security and performance</li>
<li>Integrate with PIM, ERP, CRM, and other enterprise systems</li>
</ul>
</div>
<div>Who This Book Is For:<p></p>
</div>
<div>
<div>Anyone who wants to learn the basics of all aspects of Magento. You do not need any previous experience with Magento.</div>
</div>
											","http://file.allitebooks.com/20161218/Magento%201%20DIY.pdf","PDF","5.9 MB","http://www.allitebooks.com/wp-content/uploads/2016/12/Magento-1-DIY.jpg","English","Magento 1 DIY",240,"http://www.allitebooks.com/read/index.php?id=25732",2017
24,"Tracy Smith",18,"1849511128","
                    <h3>Book Description:</h3>
						<div>In today’s global society, online collaboration has gained tremendous importance as businesses look for ways to share ideas and collaborate easily. Open Atrium is a powerful and flexible Drupal installation that provides intranet solutions to businesses and organizations for sharing ideas. It is used to create intranets where co-workers or teams can collaborate easily. But Open Atrium is filled with so many powerful features that you may need some help to use it to its full potential. Open Atrium is also a viable alternative to SharePoint.</div>
<div>Drupal Intranets with Open Atrium unlocks the power of Open Atrium and guides you through real-world examples of an Open Atrium intranet. Examples and screenshots are used throughout the book so that you can follow along on your Open Atrium installation. The examples walk through setting up your site, user administration, implementing core features, and maintaining your intranet site.<p></p>
</div>
<div>This book starts off with explaining how to set up a web server on a Windows or Mac computer and install Drupal with the Open Atrium distribution. After installing Open Atrium you will learn how to add and maintain users. The book also covers some exciting topics such as the different “spaces” or “workgroup” micro-sites that can be created to match your organization’s structure. Reading each of these sections, you will understand and become familiar with managing the Open Atrium interface. Once you comprehend the Open Atrium interface, you will learn how to create a blog, document library, and issue tracker for each group’s dashboard or site page. The book covers everything from editing a single piece of content to arranging the layout of that content on each page.<p></p>
</div>
<div>By the end of this book, you should be able to establish your own intranet site for your organization or workgroup using the Open Atrium Drupal distribution.A how-to guide with examples and screenshots to guide you through every step of creating an intranet with Open Atrium.<p></p>
</div>
<div></div>
<div>What you will learn from this book<p></p>
<ul>
<li>Add all the major features of an intranet to your site with Open Atrium</li>
<li>Get to grips with Open Atrium’s interface and its features</li>
<li>Install Open Atrium and customize it for your organization or company</li>
<li>Create sub-sites (spaces) for each of your teams, departments, or workgroups</li>
<li>Manage users and create a member directory</li>
<li>Add core features packaged with Open Atrium such as Blog, Calendar, and Issue Tracker</li>
<li>Extend the functionality of Open Atrium by adding pluggable features developed by the Drupal Open Source community</li>
<li>Maintain your intranet by performing routine maintenance tasks</li>
<li>Analyze your site’s logs and reports to ensure that it is running in tip-top condition</li>
</ul>
</div>
											","http://file.allitebooks.com/20161215/Drupal%20Intranets%20with%20Open%20Atrium.pdf","PDF","15.6 MB","http://www.allitebooks.com/wp-content/uploads/2016/12/Drupal-Intranets-with-Open-Atrium-400x494.jpg","English","Drupal Intranets with Open Atrium",304,"http://www.allitebooks.com/read/index.php?id=25639",2011
25,"Rakhitha Nimesh Ratnayake",18,"1782174397","
                    <h3>Book Description:</h3>
						<p>WordPress is one of the most rapidly expanding markets on the Web. Learning how to build complex and scalable web applications will give you the ability and knowledge to step into the future of WordPress.</p>
<p>This book is a practical, scenario-based guide to expanding the power of the WordPress core modules to develop modular and maintainable real-world applications from scratch. This book will consistently emphasize adapting WordPress features into web applications. It will walk you through the advanced usages of existing features such as access controlling, database handling, custom post types, pluggable plugins, routing, translation, caching, and many more while you build the backend of a portfolio management application.</p>
<p>After reading this book, you will have the ability to develop powerful web applications rapidly within limited time frames.</p>
<p>What You Will Learn</p>
<ul>
<li>Develop extendable plugins with the use of WordPress features in core modules</li>
<li>Develop pluggable modules to extend the core features of WordPress as independent modules</li>
<li>Follow WordPress coding standards to develop reusable and maintainable code</li>
<li>Build and customize themes beyond conventional web layouts</li>
<li>Explore the power of core database tables and understand the limitations when designing database tables for large applications</li>
<li>Integrate open source modules into WordPress applications to keep up with the latest open source technologies</li>
<li>Customize the WordPress admin section and themes to create the look and feel of a typical web application</li>
</ul>
											","http://file.allitebooks.com/20161103/WordPress%20Web%20Application%20Development,%20Second%20Edition.pdf","PDF","5.1 MB","http://www.allitebooks.com/wp-content/uploads/2016/11/WordPress-Web-Application-Development-Second-Edition-400x494.jpg","English","WordPress Web Application Development, Second Edition",430,"http://www.allitebooks.com/read/index.php?id=24768",2016
26,"Matt Glaman",18,"1785881477","
                    <h3>Book Description:</h3>
						<p>Began as a message board, Drupal today is open source software maintained and developed by a community of over 1,000,000 users and developers. Drupal is used by numerous local businesses to global corporations and diverse organizations all across the globe. With Drupal 8’s recent release and the exciting features it brings, this book will be your go-to guide to experimenting with all of these features through helpful recipes.</p>
<p>We’ll start by showing you how to customize and configure the Drupal environment as per your requirements, as well as how to install third-party libraries and then use them in the Drupal environment. Then we will move on to creating blocks and custom modules with the help of libraries. We will show you to use the latest mobile-first feature of Drupal 8, which will help you make your apps responsive across all the major platforms. This book will also show you how to incorporate multilingual facilities in your sites, use web services and third-party plugins with your applications from inside Drupal 8, and test and deploy your apps</p>
<p>What you will learn</p>
<ul>
<li>Extend Drupal through contributed or custom modules and themes</li>
<li>Develop an internationalized website with Drupal’s multilingual tools</li>
<li>Integrate third-party front-end and back-end libraries with Drupal</li>
<li>Turn Drupal into a web services provider using REST</li>
<li>Create a mobile-first responsive Drupal application</li>
<li>Run SimpleTest and PHPUnit to test Drupal</li>
<li>Understand the plugin system that powers many of Drupal 8’s new APIs to extend its functionality</li>
<li>Get to grips with the mechanics of the configuration management system and the ability to import and export site configuration</li>
</ul>
											","http://file.allitebooks.com/20160813/Drupal%208%20Development%20Cookbook.pdf","PDF","6.6 MB","http://www.allitebooks.com/wp-content/uploads/2016/08/Drupal-8-Development-Cookbook-400x494.jpg","English","Drupal 8 Development Cookbook",370,"http://www.allitebooks.com/read/index.php?id=23319",2016
27,"Ric Shreves",18,"1849512760","
                    <h3>Book Description:</h3>
						<p>Drupal is an award winning open source Content Management System (CMS). Based on PHP and MySQL, its power and flexibility combined with its exceptional design mean it is one of the most popular choices for creating a CMS website..</p>
<p>Drupal employs a specialized templating system and supports themes, which allow you to change the look and feel of your system’s front and back-end interfaces..</p>
<p>Drupal 7 Themes is an ideal introduction to theming with Drupal 7. If you want to create a striking new look for your Drupal 7 website, this book is for you. This book is a revised, updated and expanded edition of Drupal 6 Themes, rewritten specifically for Drupal 7.</p>
<p>This book will show you techniques and tools to help you improve the look and feel of any Drupal 7-powered website. Starting from the basics of theme setup and configuration, you will learn about the Drupal theming architecture and the PHPTemplate engine, and then move on to modifying existing themes and building new themes from scratch. You will find out about tools to make your theme development easier.</p>
<p>A practical guide showing you how to create themes for your Drupal 7 site</p>
<p>What you will learn from this book</p>
<ul>
<li>Learn about the Drupal 7 Theming Architecture</li>
<li>Find and install new themes</li>
<li>Get the most from Drupal’s theme configuration system</li>
<li>Create a new theme from scratch</li>
<li>Master PHPTemplate</li>
<li>Modify the default templates and styles</li>
<li>Override the default templates with your own</li>
<li>Create dynamic styling that responds to the content or the user</li>
<li>Discover tools that make theming easier and more efficient</li>
</ul>
											","http://file.allitebooks.com/20160811/Drupal%207%20Themes.pdf","PDF","7.9 MB","http://www.allitebooks.com/wp-content/uploads/1470/9957ac251448a0d.jpg","English","Drupal 7 Themes",316,"http://www.allitebooks.com/read/index.php?id=23296",2011
28,"Kristen Pol",18,"1849518181","
                    <h3>Book Description:</h3>
						<p>A practical book with plenty of screenshots to guide you through the many features of multilingual Drupal. A demo ecommerce site is provided if you want to practice on a sample site, although you can apply the techniques learnt in the book directly to your site too. Any Drupal users who know the basics of building a Drupal site and are familiar with the Drupal UI, will benefit from this book. No previous knowledge of localization or internationalization is required.</p>
											","http://file.allitebooks.com/20160605/Drupal%207%20Multilingual%20Sites.pdf","PDF","2.16 MB","http://www.allitebooks.com/wp-content/uploads/2016/06/Drupal-7-Multilingual-Sites.jpg","English","Drupal 7 Multilingual Sites",140,"http://www.allitebooks.com/read/index.php?id=22346",2012
29,"Vladimir Prelovac",18,"1847193595","
                    <h3>Book Description:</h3>
						<p>If you can write WordPress plug-ins, you can make WordPress do just about anything. From making the site easier to administer, to adding the odd tweak or new feature, to completely changing the way your blog works, plug-ins are the method WordPress offers to customize and extend its functionality. This book will show you how to build all sorts of WordPress plug-ins: admin plug-ins, Widgets, plug-ins that alter your post output, present custom “views” of your blog, and more.</p>
<p>WordPress Plug-in Development (Beginner’s Guide) focuses on teaching you all aspects of modern WordPress development. The book uses real and published WordPress plug-ins and follows their creation from the idea to the finishing touches, in a series of carefully picked, easy-to-follow tutorials. You will discover how to use the WordPress API in all typical situations, from displaying output on the site in the beginning to turning WordPress into a CMS in the last chapter. In Chapters 2 to 7 you will develop six concrete plug-ins and conquer all aspects of WordPress development.</p>
<p>Each new chapter and each new plug-in introduces different features of WordPress and how to put them to good use, allowing you to gradually advance your knowledge. This book is written as a guide to take your WordPress skills from the very beginning to the level where you are able to completely understand how WordPress works and how you can use it to your advantage.</p>
<p>What you will learn from this book?</p>
<ul>
<li>Get to know the WordPress code base, WordPress’s plug-in architecture, and the plug-in application programming interface (API) and learn how to hack it</li>
<li>Master the WordPress database and the API – access and manipulate data, handle user roles and permissions, posts, and so on</li>
<li>Hook into the rest of WordPress using actions and filters</li>
<li>Change the way your WordPress backend looks by customizing menus, submenus, and the plug-in admin panel</li>
<li>Integrate AJAX and jQuery into your plug-ins to dynamically generate content</li>
<li>Hook directly to WordPress edit pages and use AJAX to generate fast searches</li>
<li>Integrate your plug-in with WordPress panels and the tinyMCE editor</li>
<li>Access and work with third-party APIs like Flickr</li>
<li>Implement localization support for users of other languages</li>
<li>Maintain and manage your plug-in using SVN and publish it to the WordPress Plugin Repository</li>
<li>Handle security issues and make your plug-ins safer to use</li>
</ul>
											","http://file.allitebooks.com/20161110/WordPress%20Plugin%20Development.pdf","PDF","5.7 MB","http://www.allitebooks.com/wp-content/uploads/2016/11/WordPress-Plugin-Development-Beginners-Guide.jpg","English","WordPress Plugin Development, Beginner’s Guide",296,"http://www.allitebooks.com/read/index.php?id=24893",2009
30,"Todd Tomlinson",18,"1484219694","
                    <h3>Book Description:</h3>
						<div>
<div>
<p>Learn what Backdrop CMS is and how it fulfills the role of a content management system, along with how to install and configure it. This book teaches how to create and manage content, taxonomy, users, page layouts, and menus to get the best site possible. You’ll also see how to install on shared hosting – which is a focus of the Backdrop CMS team – to make hosting your website affordable.</p>
<p>Backdrop CMS has a very strong community, and Beginning Backdrop CMS&nbsp;shows you how to leverage Backdrop CMS’s repository of contributed modules and themes to expand the functionality and look of your site, along with how to contribute your own material to the community.</p>
<p>Beginning Backdrop CMS&nbsp;focuses on the user who is responsible for building, maintaining, and managing an organization’s website and who is interested in Backdrop CMS’s ability to meet their site’s requirements. It covers why you should consider using a content management system when building a new web site.</p>
<p>By reading this book, you will:</p>
<ul>
<li>Understand why you should use Backdrop CMS and the power of the platform.</li>
<li>Build confidence in your ability to use Backdrop CMS.</li>
<li>Gain the knowledge necessary to build, deploy, and manage web sites of moderate complexity on Backdrop CMS.</li>
<li>Understand the process for migrating a Drupal 6 or 7 site to Backdrop CMS.</li>
</ul>
</div>
</div>
<div>What You Will Learn<p></p>
</div>
<div>
<div>
<ul>
<li>How to install a basic Backdrop CMS web site from scratch</li>
<li>How to create content in your new Backdrop CMS web site</li>
<li>How to create blocks</li>
<li>How to create and manage menus and users</li>
<li>How to create and use layouts when creating pages on your site</li>
<li>How to create a Backdrop CMS theme</li>
<li>The basics of a Backdrop CMS module</li>
</ul>
</div>
</div>
											","http://file.allitebooks.com/20160615/Beginning%20Backdrop%20CMS.pdf","PDF","22.3 MB","http://www.allitebooks.com/wp-content/uploads/1465/8357612180eace9.jpg","English","Beginning Backdrop CMS",288,"http://www.allitebooks.com/read/index.php?id=22549",2016
31,"Greg Lukosek",19,"1785287591","
                    <h3>Book Description:</h3>
						<p>Unity is a cross-platform game engine that is used to develop 2D and 3D video games. Unity 5 is the latest version, released in March 2015, and adds a real-time global illumination to the games, and its powerful new features help to improve a game’s efficiency.</p>
<p>This book will get you started with programming behaviors in C# so you can create 2D games in Unity. You will begin by installing Unity and learning about its features, followed by creating a C# script. We will then deal with topics such as unity scripting for you to understand how codes work so you can create and use C# variables and methods. Moving forward, you will find out how to create, store, and retrieve data from collection of objects.</p>
<p>You will also develop an understanding of loops and their use, and you’ll perform object-oriented programming. This will help you to turn your idea into a ready-to-code project and set up a Unity project for production. Finally, you will discover how to create the GameManager class to manage the game play loop, generate game levels, and develop a simple UI for the game.</p>
<p>By the end of this book, you will have mastered the art of applying C# in Unity.</p>
<p>Who This Book Is For</p>
<p>The book is targeted at beginner level Unity developers with no programming experience. If you are a Unity developer and you wish to learn how to write C# scripts and code by creating games, then this book is for you.</p>
<p>What You Will Learn</p>
<ul>
<li>Understand the fundamentals of variables, methods, and code syntax in C#</li>
<li>Get to know about techniques to turn your game idea into working project</li>
<li>Use loops and collections efficiently in Unity to reduce the amount of code</li>
<li>Develop a game using the object-oriented programming principles</li>
<li>Generate infinite levels for your game</li>
<li>Create and code a good-looking functional UI system for your game</li>
<li>Publish and share your game with users</li>
</ul>
											","http://file.allitebooks.com/20170716/Learning%20C-%20by%20Developing%20Games%20with%20Unity%205.x,%202nd%20Edition.pdf","PDF","4.8 MB","http://www.allitebooks.com/wp-content/uploads/2017/07/Learning-C-by-Developing-Games-with-Unity-5.x-2nd-Edition-400x493.jpg","English","Learning C# by Developing Games with Unity 5.x, 2nd Edition",230,"http://www.allitebooks.com/read/index.php?id=27797",2016
